Datetime,Tweet Id,Tweet,Username,Language
2022-12-30 18:21:52+00:00,1608891134419566597,2023 gak jadi resesi soalnya jeben berlayar makin jauh sambil menjalankan ekonomi dunia menjadi lebih gemilang,theendofautumn,in
2022-12-30 16:05:03+00:00,1608856700882407424,KETAHANAN pangan harus menjadi resolusi 2023 seluruh pemangku kepentingan. Pemerintah dan swasta harus lebih kuat lagi menjadi ketahanan pangan mengingat tahun depan diprediksi bakal terjadi resesi ekonomi.  https://t.co/loiwcPVJYt,mediaindonesia,in
2022-12-30 14:36:04+00:00,1608834307761786887,NARASI RESESI VS OPTIMISME EKONOMI 2023 https://t.co/PbCz681zXE via @Nawacita,nawacitadotco,in
2022-12-30 14:24:37+00:00,1608831426165870593,"Rumah Zakat Buat Strategi Tahun 2023, 'untuk Keluar dari Kemiskinan dan Ancaman Resesi Ekonomi' https://t.co/QglRmXlFxR",RiaupagiSurya,in
2022-12-30 14:03:04+00:00,1608826004906332160,"2023 sudah dibayangi adanya Resesi Global. 
Bagaimana gambaran dari 2022 ke 2023?
Seperti apa Proyeksi dan Tantangan Resesi Global?
Simak dan ikuti, “Ekonomi Bisnis Outlook 2023”
Hanya di City Guide 911 FM
Saksikan secara visual, di Web, aplikasi dan kanal Youtube

@mustamuronny https://t.co/qAw1dOF68S",cityguide911fm,in
2022-12-30 10:42:06+00:00,1608775427744763905,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/TiB9IkWszg,DipaDuaLima,in
2022-12-30 10:30:16+00:00,1608772451189637121,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/Sp14CxBKGt,kusumaputri9899,in
2022-12-30 10:28:22+00:00,1608771971394994176,@lix_lee007 😂😂😂😂😂😂 enel ugaaa ..... resesi ekonomi 2023 di mulai dr sekarang 😂,noonathel,in
2022-12-30 10:03:50+00:00,1608765798025408514,Vietnam tak terdampak resesi ekonomi yang kata Pak Luhut BP @kemenkomarves ancam dunia. Apa karena ancamannya pada 2023? :),basoamir,in
2022-12-30 09:54:50+00:00,1608763535865319424,"Dana Moneter Internasional (IMF) memperkirakan 2023 bakal menjadi tahun yang lesu. Terasa seperti pil pahit bagi negara-negara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi Covid-19.

#datanesia 
#resesi 
#whitepaperdatanesia https://t.co/EEQ3k17jH9",datanesia_id,in
2022-12-30 08:30:02+00:00,1608742193329770501,3 Biang Keladi Penentu Ekonomi Global Masuk Jurang Resesi atau Tidak di 2023 https://t.co/sQ0prEEzv4,liputan6dotcom,in
2022-12-30 08:05:07+00:00,1608735923654758407,"Tahun 2023 mau ngapain? 

Mau ganti semua produk pake local product, at least biarpun resesi, tapi ekonomi dalam negeri tetap bergerak. Bukannya malah ngucurin dana ke negara orang ☺",ahn_hee_young,in
2022-12-30 06:35:19+00:00,1608713322697834498,Mantap.. Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/zO3TOkutQa,deniangria,in
2022-12-30 06:30:49+00:00,1608712192739655685,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/QYZbmNMsHU,kharism79,in
2022-12-30 05:32:40+00:00,1608697555705270272,Hal ihwal kegentingan yang memaksa di Perppu juga ga masuk akal. Krisis/resesi ekonomi 2023 di Indonesia peluangnya kecil,maulanafawdi,in
2022-12-30 05:10:15+00:00,1608691916987564032,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/rNGDzPO8lk,sebhayu,in
2022-12-30 05:10:08+00:00,1608691885798821888,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/HUK9ePOL18,halaucovid,in
2022-12-30 02:32:02+00:00,1608652098815811586,"Apindo Ingatkan Pemerintah Waspadai Resesi Tahun 2023: Tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara, termasuk Indonesia. Pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan.

baca… https://t.co/mQQ5IYhQKG",RMOLJatim_id,in
2022-12-30 01:33:50+00:00,1608637453212192768,"Materi: 
• Product Insight
• Brand Building
• Brand DNA &amp; Brand Personality
Siapkan brand kamu untuk menghadapi isu resesi ekonomi 2023
Info detail : https://t.co/7U54vdnnbK",CilyaWonderland,in
2022-12-29 13:44:37+00:00,1608458974608920578,"5 Ramalan Ekonomi 2023, Resesi sampai Bangkrut Massal https://t.co/G745Tsdo2k",go_antonmail,in
2022-12-29 12:49:03+00:00,1608444989138255875,"Ekonomi 2023, Resesi Sampai Bangkrut Massal https://t.co/hGKXTu6SD8",ekspresnews,in
2022-12-29 12:39:25+00:00,1608442566214848514,"Apakah ini perasaan gue saja atau bukan ya, di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u/ persiapan menghindari resesi 2023 justru jadi ajang “rebound”, bahkan meningkatkan harga2. Cth dampak nyata buat gue, Argo Parahyangan bisa tembus Rp150ribu menjelang tahun baru.",arief1997,in
2022-12-29 12:25:12+00:00,1608438988683218944,"Dana Moneter Internasional (IMF) memperingatkan pada tahun 2023, resesi ekonomi bisa dialami oleh banyak negara. 

Jika terjadi resesi tahun depan, bagaimana kita harus mengelola keuangan untuk tahun depan? Apa hal-hal yang harus diperhatikan?

BESOK kami bahas di #RuangPublikKBR https://t.co/rUFLOaBM5g",beritaKBR,in
2022-12-29 11:18:08+00:00,1608422107641438211,Apindo Ungkap Kekuatan Besar Indonesia Hadapi Ancaman Resesi Ekonomi 2023 https://t.co/xHu8WobzMt,VIVAcoid,in
2022-12-29 10:30:30+00:00,1608410120429670400,"2023 Resesi Ekonomi
Gua yang kuliah dibiayain ortu = 🙂🤝🏻",dvaakyla_,in
