Datetime,Tweet Id,Tweet,Username,Language
Wed Apr 12 22:08:37 +0000 2023,311312187.0,"Setelah pasar memperkirakan akan terjadi resesi karena Fed menaikkan suku bunga tergesa-gesa sejak tahun lalu, semalam Fed menyatakan krisis perbankan lah yang akan menyebabkan resesi tahun ini. 

Krik.... krik... krik... https://t.co/YPHYMsJc1w",doktermarket,in
Sun Apr 09 04:17:34 +0000 2023,9.16e+17,"Uang reses dewan di kembalikan ke warga jd rutinitas sjk 2006 berbentuk uang &amp; sembako dgn niat Zakat

Kalo ente ngomong mereka berhak/engga &amp; di anggap Amalan tak bernilai Zakat oleh Alloh

Yo.. Biarlah itu urusan Alloh
Kok ente yg sewod @MuhammadSaewadd
Ente zakat apa wad? 😏😏 https://t.co/QOFZDKc9wY",Fita_Shanty,in
Fri Apr 07 12:17:32 +0000 2023,8.18e+17,"8 golongan yang berhak menerima zakat, apakah jamaah yang di masjid itu semuanya termasuk 8 golongan tersebut? https://t.co/LGUYIB0YFU",Muhammad_Saewad,in
Mon Apr 17 06:22:21 +0000 2023,201965045.0,"Indonesia termasuk negara yang memiliki kemungkinan kecil terkena resesi (cuma 2%). Mantap kan. Sumber: Bloomberg

Ekonomi sejauh ini sih terlihat bagus-bagus saja

Tapi ya belum tentu pasar saham pasti juga cerah. Ingat kalimat ini: stock market is not the economy https://t.co/Xb9VwzZXMr",desmondwira,in
Sat Apr 15 03:33:53 +0000 2023,2256063276.0,"Rubini: AS sedang menuju krisis kredit yang akan mengirim ekonomi ke dalam resesi  

Nurijel RUBINI: Masalahnya ada di bank-bank daerah yang menerbitkan pinjaman hipotek, pinjaman komersial terkait real estate, serta pinjaman kepada usaha kecil dan menengah. https://t.co/3fvpZoXNoL",SoftWarNews,in
Mon Apr 03 08:11:39 +0000 2023,150581612.0,Resesi seks di Jepang telah menyebabkan populasi turun dan angka kelahiran bayi mencapai rekor terendah 👶. Salah satu dampak fenomena tersebut adalah ratusan sekolah yang tutup setiap tahunnya karena kekurangan murid. https://t.co/XJgINj8C94,dw_indonesia,in
Sun Apr 09 05:21:45 +0000 2023,105085302.0,"Jepang dilanda resesi seks. Klo Indonesia dilanda resesi akal sehat.

No debat! 🤣🤣🤣",bachrum_achmadi,in
Sun Apr 23 13:38:34 +0000 2023,1.41e+18,Indonesia Resesi? https://t.co/2ssLL2InHq,Fatur48151349,in
Sun Apr 16 04:25:50 +0000 2023,215099720.0,"Krisis perbankan AS belum berakhir, bank-bank kecil dan regional telah berhenti memberikan pinjaman, dan pasar modal belum pulih ke level sebelumnya, sehingga resesi adalah skenario yang sangat mungkin terjadi, kata mantan Menteri Keuangan AS Hank Paulson (2006-2009). https://t.co/V7eFGqCL9M",bdleonanda,in
Sun Apr 02 08:20:06 +0000 2023,1.33e+18,"💚 baru tau woiiii 😭 pantesan capung jarang keliatan sekarang, ternyata resesi populasi 😭 https://t.co/uUzyt4TVc2",tanyakanrl,in
Sat Apr 15 10:47:35 +0000 2023,214159664.0,"Masa reses harus benar-benar dipakai untuk turun ke bawah..

Contohnya yang dilakukan oleh mbak @imadya https://t.co/0QH3QEY8Vg",Paltiwest,in
Fri Apr 21 23:22:22 +0000 2023,104823513.0,"@musslihuddin Indonesia ga perlu khawatir akan resesi sex karena bonus demografi kita sudah banyak. Yg harus lebih dikhawatirkan adalah, nanti anak yg dilahirkan apakah akan dapat nutrisi tumbuh kembang dan pendidikan yg baik apa enggak.
Buat apa bonus demografi banyak, tapi ga banyak kepake?",primawansatrio,in
Sun Apr 23 06:36:57 +0000 2023,1.53e+18,"Saya masih percaya, Bitcoin akan kembali ke order block di 29.300-31.800.

Alasannya M2 Supply sudah terburuk sepanjang sejarah, tidak ada celah untuk AS tidak resesi. Periode decoupling sudah terlalu sering kelihatan

Secara macro, konflik di sudan adalah dibuat, https://t.co/JlkfLHYyik",hoteliercrypto,in
Fri Apr 21 22:58:10 +0000 2023,234682839.0,@primawansatrio Financial stable? Sampai kapan? Nunggu indonesia resesi sex kek jepan korea dulu kah?,musslihuddin,in
Fri Apr 14 01:02:05 +0000 2023,172766975.0,Semoga Indonesia terhindar dari ancaman resesi.. insya Allah... https://t.co/qjwN5S4yqU,kh_notodiputro,in
Wed Apr 05 02:55:07 +0000 2023,2527364299.0,"""Resesi Seks"" Makin Ngeri di Jepang, Banyak Sekolah Tutup...

@DokterTifa @rockygerung_rg
Gak ada niatan pergi ke Jepang kah???
.
.
.
📌
https://t.co/gQK9dOuNqi https://t.co/6CKxFAvGQZ",AB_008_,in
Sun Apr 16 12:44:01 +0000 2023,311312187.0,Kemungkinan terjadi resesi tahun 2023: Inggris tertinggi sementara India dan Indonesia terendah (BBG) https://t.co/1gFrl9RzO2,doktermarket,in
Sat Apr 15 08:35:21 +0000 2023,33456112.0,"Bloomberg menyebut, kemungkinan Indonesia bersama India dan Saudi mengalami resesi, sangat kecil. Di bawah 5%.

Data seperti ini pasti bikin sakit mata oposisi.

Wajar kalo urusan hutang Cina, dihajar teruss. https://t.co/vH358TDRDv",muchlis_ar,in
Thu Apr 20 09:36:41 +0000 2023,7.31e+17,Resesi batal ? https://t.co/8byugw2fEL,Arth_sihotang16,in
Mon Mar 27 03:56:53 +0000 2023,3319260420.0,"Bantah Lakukan Politik Uang, Said PDIP Tegaskan Cuma Bagi Sembako di Masa Reses
https://t.co/X05vTGmZsi",geloraco,in
Wed Apr 05 07:52:29 +0000 2023,451407714.0,@ispeispewayae Ekonomi resesi: https://t.co/jI9v476wwV,ifadhils,in
Sun Apr 09 06:52:16 +0000 2023,342730325.0,"Saya melaksanakan giat Reses Serap Aspirasi warga Pondok Pinang, Petukangan Utara &amp; Kuningan Timur. Semoga bermanfaat &amp; mempererat silaturahmi.

@AgusYudhoyono @PDemokrat 
@RAMujiyono @PDemokratjkt 
@MelaniLSuharli 

#DemokratBersamaWarga
#PerubahanDanPerbaikan https://t.co/DNtgWhCNYn",alimuhsuharli,in
Thu Apr 06 04:33:25 +0000 2023,57261519.0,"Sri Mulyani rencananya akan duduk bersama dengan Menko Polhukam  @mohmahfudmd dan Kepala Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) Ivan Yustiavandana. Rapat akan dilakukan sebelum masa reses pada 14 April 2023.

#SriMulyani #349T #DPR https://t.co/wNSEJAFMvV",Metro_TV,in
Fri Apr 07 13:22:53 +0000 2023,2412572689.0,"Ribuan Sekolah Ditutup, Jepang Dilanda Resesi Seks, Angka Kelahiran Minim https://t.co/B8qE8jTOqk",is_pelssy,in
Thu Apr 13 21:18:31 +0000 2023,1.46e+18,"UU Cipta Kerja membuat Indonesia tahan terhadap risiko pandemi dan resesi
#CiptaKerja #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia #PertumbuhanEkonomi #PemulihanEkonomiNasional #EkonomiIndonesia #SurgaInvestasi https://t.co/9BSMKX7QkI",penegak_kultum,in
Thu Apr 06 03:25:10 +0000 2023,1.6e+18,@msaid_didu Terus aja lempar2an sampe ketemu masa reses berikutnya ntar abis reses lempar2an lagi ampe abis masa jabatan DPR. https://t.co/GfbopgH5KL,Yedi_ExTKI,in
Mon Apr 10 07:21:28 +0000 2023,1e+18,Resesi kerasa juga boi... njir terseok-seok bukan main,baryoism,in
Mon Apr 17 15:23:41 +0000 2023,108557222.0,"Pengertian 𝒎𝒂𝒓𝒌𝒆𝒕 di Indonesia itu belum linear ke pasar modal (bursa saham), malah lebih linear ke 𝒑𝒂𝒔𝒂𝒓 𝒃𝒆𝒄𝒆𝒌 / UMKM yg 'tdk kenal yg namanya saham/bursa.

Bursa saham boleh jungkir balik, Ekonomi Rakyat jalan terus; tidak ada resesi. https://t.co/l4fhoo3Or6",mharisman,in
Thu Apr 13 21:16:22 +0000 2023,1057240909.0,"Semakin mampu bertahan dari badai resesi global dengan adanya UU Cipta Kerja
#CiptaKerja #UUCiptaKerja #DukungUUCiptaker #CiptakerSejahterakanRakyat #CiptakerMembangunIndonesia #PertumbuhanEkonomi #PemulihanEkonomiNasional #EkonomiIndonesia #SurgaInvestasi https://t.co/MSywDJaeQ1",Vhienaiueo,in
Wed Apr 05 03:17:08 +0000 2023,9.16e+17,"RUU uda di tangan Dewan, knp malah nyuruh Presiden buat Perpu? 
Kalo DPR cuma jadi pajangan, ga mampu mensahkan RUU ya ga apa2 DPR bubarin aja, drpd abis2in anggaran, nanti baru segalanya pake Perpu! 
Di gaji di kasih tunjangan belum Reses masih ga mau memenuhi keinginan rakyat!",Fita_Shanty,in
Thu Mar 30 15:16:38 +0000 2023,1349689818.0,"@arifin34533 @alextham878 @PDI_Perjuangan Hormati ! 👎🏻
Emang pdip sdg reses sejak 24 Okt 2019
Setelah 4tahun + ttd host city agreement tiba2 nongol bicara TOLAK https://t.co/EnolgKXLqZ",hoLLpath,in
Mon Apr 03 15:59:36 +0000 2023,4326839355.0,"Jika saja Menkopolhukam dan Presiden Jokowi mau dan berani mengeluarkan Perpu UU Perampasan Aset maka dana hasil tindak pidana sejumlah Rp 349 T di Kemenkeu itu langsung saja dirampas utk negara.Bisa utk bangun jembatan dn jalan yg rusak,angkat tenaga P3K,angkat Nakes dan guru…",BennyHarmanID,in
Thu Apr 13 02:41:13 +0000 2023,9.76e+17,"Ay Yg Dari Dulu Suka Beli Dan Koleksi Tupperware 😍
Karena Emak Gak Suka Model Plastik 🤣
Lumayan Jadi Member Dapat Potongan 30 %
Katanya Garansi Seumur Hidup
Rusak / Pecah Gak Di Ganti Kebanyakan Ay Buang
Mo Bangkrut Mungkin Menuju Resesi,, Kurang BerInovasi Juga.. https://t.co/igLALGmYSf",Taurus_new9,in
Fri Apr 14 10:05:46 +0000 2023,2413697946.0,"#TemanPemilih, Inspektur Utama Setjen KPU, Nanang Priyatna hadir mendampingi Kunjungan Kerja Reses Anggota Komisi II DPR RI ke Pemerintah Kota Bekasi, Provinsi Jawa Barat, di Kantor Walikota Bekasi, Jumat (14/4/2023). https://t.co/yAxctk72MF",KPU_ID,in
Tue Apr 18 14:45:43 +0000 2023,1.59e+18,Indonesia Kemungkinan besar akan aman dari resesi #golkarindonesia #airlanggahartarto #pemiluserentak2024 #prabowo #aniesbaswedan #wakilrakyat #prabowo #presidenjokowi #puanmaharani #resesi #JHOPE #younggirls https://t.co/LdkNLgmTUh,langkah_nyata,in
