Datetime,Tweet Id,Tweet,Username,Language,English,Sentiment,Composes
2020-11-05 08:25:32+00:00,1324266586883026945,"Indonesia Resesi, Pengusaha Sebut Pertumbuhan Ekonomi Baru Bangkit di 2023 https://t.co/Xp2EtHsrKP",liputan6dotcom,in,"Indonesia Recession, Entrepreneur Says New Economic Growth Will Rise in 2023 https://t.co/Xp2EtHsrKP",Negative,"{'neg': 0.182, 'neu': 0.649, 'pos': 0.169, 'compound': -0.0516}"
2020-10-17 10:36:09+00:00,1317414089144987649,"Pengamat mengatakan, pertumbuhan ekonomi baru bisa normal pada 2023. Namun, jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hingga 2021, Indonesia kemungkinan akan masuk ke jurang depresi ekonomi.

#WaktunyaLokadata https://t.co/AwZlqdViU8",LokadataID,in,"Observers say that economic growth will only return to normal in 2023. However, if there is no improvement in handling the pandemic and the economic recession continues until 2021, Indonesia is likely to enter the brink of economic depression.

#TimeLokadata https://t.co/AwZlqdViU8",Negative,"{'neg': 0.185, 'neu': 0.762, 'pos': 0.054, 'compound': -0.7491}"
2020-09-28 05:23:24+00:00,1310450011230990342,"Pengamat mengatakan, pertumbuhan ekonomi baru bisa normal pada 2023. Namun, jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hingga 2021, Indonesia kemungkinan akan masuk ke jurang depresi ekonomi.

#WaktunyaLokadata https://t.co/AwZlqdViU8",LokadataID,in,"Observers say that economic growth will only return to normal in 2023. However, if there is no improvement in handling the pandemic and the economic recession continues until 2021, Indonesia is likely to enter the brink of economic depression.

#TimeLokadata https://t.co/AwZlqdViU8",Negative,"{'neg': 0.185, 'neu': 0.762, 'pos': 0.054, 'compound': -0.7491}"
2020-09-24 13:42:22+00:00,1309126027755556864,"Kalau Kanker, Sepertinya Sudah Masuk Stadium Empat, Sudah Keropos, Menunggu Ambruk Bagai Anjing Mencret yg Sudah Kehilangan Tenaga.
Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit D... https://t.co/780pIX3sf3",myputun,in,"If it's cancer, it looks like it's already entered stage four, it's already rotting, waiting to collapse like a dog with diarrhea that has lost its strength.
This is not good news, the Indonesian economy is predicted to only recover from recession in 2023, mass bankruptcy is difficult... https://t.co/780pIX3sf3",Negative,"{'neg': 0.268, 'neu': 0.608, 'pos': 0.125, 'compound': -0.8558}"
2020-09-24 07:31:13+00:00,1309032626439757826,"Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit Dihindari https://t.co/fvPodFfNua",BizlawIndonesia,in,"This is not good news, the Indonesian economy is predicted to only recover from recession in 2023, mass bankruptcy is difficult to avoid https://t.co/fvPodFfNua",Negative,"{'neg': 0.331, 'neu': 0.669, 'pos': 0.0, 'compound': -0.8362}"
2020-09-23 10:03:15+00:00,1308708497643597824,"Resesi Tak Terhindarkan, Ekonomi Diproyeksi Pulih Total pada 2023 #ddtcnews  https://t.co/K7Rhi2rEZf",agg90,in,"Recession Inevitable, Economy Projected to Fully Recover in 2023 #ddtcnews https://t.co/K7Rhi2rEZf",Negative,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
2020-08-17 04:23:26+00:00,1295214630051000326,Semoga Indonesia dpt berhasil ujicoba vaksin covid-19 di atas 90% shg tdk terkena resesi krisis yg diprediksikan sd 2023... tetap optimis hadapi terbenamnya ekonomi.,ankrizz,in,Hopefully Indonesia can successfully test the Covid-19 vaccine above 90% so that it is not hit by the predicted crisis recession until 2023... remain optimistic in facing the economic downturn.,Positive,"{'neg': 0.172, 'neu': 0.623, 'pos': 0.204, 'compound': 0.0772}"
2020-07-16 04:16:41+00:00,1283616518257836032,"@CNNIndonesia Negara Singapura kena resesi ekonomi mungkin bisa pulih 2023 
Indonesia kena resesi tahun 2034 atau lebih bisa pulih ..",kangenghea,in,"@CNNIndonesia Singapore, hit by an economic recession, may recover in 2023
Indonesia will be hit by a recession in 2034 or later and can recover...",Negative,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.6808}"
2021-05-05 10:27:28+00:00,1389889473417138185,"Covid-19 belum terhandle dengan baik, ekonomi indonesia masih resesi. Bisa2 fully recovered tahun 2023.",amatalidla,in,"Covid-19 has not been handled well, the Indonesian economy is still in recession. Could be fully recovered in 2023.",Negative,"{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.5594}"
2022-12-30 18:21:52+00:00,1608891134419566597,2023 gak jadi resesi soalnya jeben berlayar makin jauh sambil menjalankan ekonomi dunia menjadi lebih gemilang,theendofautumn,in,2023 won't be a recession because jeben will sail further and further while running the world economy to be more brilliant,Positive,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7525}"
