Datetime,Tweet Id,Tweet,Username,Language,Tweet_clean,Tweet_preprocessed,Clean_Sentence,English,Sentiment,Composes
2020-11-05 08:25:32+00:00,1324266586883026945,"Indonesia Resesi, Pengusaha Sebut Pertumbuhan Ekonomi Baru Bangkit di 2023 https://t.co/Xp2EtHsrKP",liputan6dotcom,in,indonesia resesi pengusaha sebut pertumbuhan ekonomi baru bangkit di,"['indonesia', 'resesi', 'usaha', 'tumbuh', 'ekonomi', 'bangkit']",indonesia resesi usaha tumbuh ekonomi bangkit,indonesia recession business grows economy rises,Negative,"{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.4215}"
2020-10-17 10:36:09+00:00,1317414089144987649,"Pengamat mengatakan, pertumbuhan ekonomi baru bisa normal pada 2023. Namun, jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hingga 2021, Indonesia kemungkinan akan masuk ke jurang depresi ekonomi.

#WaktunyaLokadata https://t.co/AwZlqdViU8",LokadataID,in,pengamat mengatakan pertumbuhan ekonomi baru bisa normal pada namun jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hinga indonesia kemungkinan akan masuk ke jurang depresi ekonomi,"['amat', 'tumbuh', 'ekonomi', 'normal', 'baik', 'tangan', 'pandemi', 'resesi', 'ekonomi', 'lanjut', 'hinga', 'indonesia', 'masuk', 'jurang', 'depresi', 'ekonomi']",amat tumbuh ekonomi normal baik tangan pandemi resesi ekonomi lanjut hinga indonesia masuk jurang depresi ekonomi,very normal economic growth both hands of the pandemic continued economic recession until Indonesia entered the abyss of economic depression,Negative,"{'neg': 0.247, 'neu': 0.645, 'pos': 0.109, 'compound': -0.5627}"
2020-09-24 13:42:22+00:00,1309126027755556864,"Kalau Kanker, Sepertinya Sudah Masuk Stadium Empat, Sudah Keropos, Menunggu Ambruk Bagai Anjing Mencret yg Sudah Kehilangan Tenaga.
Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit D... https://t.co/780pIX3sf3",myputun,in,kalau kanker sepertinya sudah masuk stadium empat sudah keropos menungu ambruk bagai anjing mencret yg sudah kehilangan tenaga ini bukan kabar baik ekonomi indonesia diprediksi baru sembuh dari resesi pada kebangkrutan masal sulit d,"['masuk', 'stadium', 'keropos', 'tungu', 'ambruk', 'mencret', 'hilang', 'tenaga', 'kabar', 'ekonomi', 'indonesia', 'prediksi', 'sembuh', 'resesi', 'bangkrut', 'masal', 'sulit']",masuk stadium keropos tungu ambruk mencret hilang tenaga kabar ekonomi indonesia prediksi sembuh resesi bangkrut masal sulit,"Entering the porous stage, waiting to collapse, diarrhea, loss of energy, Indonesian economic news predicts recovery from recession, mass bankruptcy, difficult",Negative,"{'neg': 0.374, 'neu': 0.554, 'pos': 0.073, 'compound': -0.8271}"
2020-09-24 07:31:13+00:00,1309032626439757826,"Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit Dihindari https://t.co/fvPodFfNua",BizlawIndonesia,in,ini bukan kabar baik ekonomi indonesia diprediksi baru sembuh dari resesi pada kebangkrutan masal sulit dihindari,"['kabar', 'ekonomi', 'indonesia', 'prediksi', 'sembuh', 'resesi', 'bangkrut', 'masal', 'sulit', 'hindar']",kabar ekonomi indonesia prediksi sembuh resesi bangkrut masal sulit hindar,"Indonesian economic news predicts recovery from recession, mass bankruptcy, difficult to avoid",Negative,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.7579}"
2020-09-23 10:03:15+00:00,1308708497643597824,"Resesi Tak Terhindarkan, Ekonomi Diproyeksi Pulih Total pada 2023 #ddtcnews  https://t.co/K7Rhi2rEZf",agg90,in,resesi tak terhindarkan ekonomi diproyeksi pulih total pada,"['resesi', 'hindar', 'ekonomi', 'proyeksi', 'pulih', 'total']",resesi hindar ekonomi proyeksi pulih total,"avoid a recession, the projected economy will recover completely",Negative,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6124}"
2020-08-17 04:23:26+00:00,1295214630051000326,Semoga Indonesia dpt berhasil ujicoba vaksin covid-19 di atas 90% shg tdk terkena resesi krisis yg diprediksikan sd 2023... tetap optimis hadapi terbenamnya ekonomi.,ankrizz,in,semoga indonesia dpt berhasil ujicoba vaksin covid di atas shg tdk terkena resesi krisis yg diprediksikan sd tetap optimis hadapi terbenamnya ekonomi,"['moga', 'indonesia', 'dpt', 'hasil', 'ujicoba', 'vaksin', 'covid', 'shg', 'kena', 'resesi', 'krisis', 'prediksi', 'sd', 'optimis', 'hadap', 'benam', 'ekonomi']",moga indonesia dpt hasil ujicoba vaksin covid shg kena resesi krisis prediksi sd optimis hadap benam ekonomi,"I hope that Indonesia will get the results of the Covid vaccine trial, which is hit by a recession",Neutral,"{'neg': 0.123, 'neu': 0.749, 'pos': 0.128, 'compound': 0.0258}"
2020-07-16 04:16:41+00:00,1283616518257836032,"@CNNIndonesia Negara Singapura kena resesi ekonomi mungkin bisa pulih 2023 
Indonesia kena resesi tahun 2034 atau lebih bisa pulih ..",kangenghea,in,negara singapura kena resesi ekonomi mungkin bisa pulih indonesia kena resesi tahun atau lebih bisa pulih,"['negara', 'singapura', 'kena', 'resesi', 'ekonomi', 'pulih', 'indonesia', 'kena', 'resesi', 'pulih']",negara singapura kena resesi ekonomi pulih indonesia kena resesi pulih,"Singapore is hit by a recession, the economy is recovering, Indonesia is hit by a recession, it is recovering",Negative,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.6808}"
2021-05-05 10:27:28+00:00,1389889473417138185,"Covid-19 belum terhandle dengan baik, ekonomi indonesia masih resesi. Bisa2 fully recovered tahun 2023.",amatalidla,in,covid belum terhandle dengan baik ekonomi indonesia masih resesi bisa fuly recovered tahun,"['covid', 'terhandle', 'ekonomi', 'indonesia', 'resesi', 'fuly', 'recovered']",covid terhandle ekonomi indonesia resesi fuly recovered,covid handled indonesian economy recession fully recovered,Negative,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}"
2022-12-30 18:21:52+00:00,1608891134419566597,2023 gak jadi resesi soalnya jeben berlayar makin jauh sambil menjalankan ekonomi dunia menjadi lebih gemilang,theendofautumn,in,gak jadi resesi soalnya jeben berlayar makin jauh sambil menjalankan ekonomi dunia menjadi lebih gemilang,"['resesi', 'jeben', 'layar', 'jalan', 'ekonomi', 'dunia', 'gemilang']",resesi jeben layar jalan ekonomi dunia gemilang,the recession jeben sails the way the world economy shines,Negative,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}"
2022-12-30 16:05:03+00:00,1608856700882407424,KETAHANAN pangan harus menjadi resolusi 2023 seluruh pemangku kepentingan. Pemerintah dan swasta harus lebih kuat lagi menjadi ketahanan pangan mengingat tahun depan diprediksi bakal terjadi resesi ekonomi.  https://t.co/loiwcPVJYt,mediaindonesia,in,ketahanan pangan harus menjadi resolusi seluruh pemangku kepentingan pemerintah dan swasta harus lebih kuat lagi menjadi ketahanan pangan mengingat tahun depan diprediksi bakal terjadi resesi ekonomi,"['tahan', 'pangan', 'resolusi', 'mang', 'penting', 'perintah', 'swasta', 'kuat', 'tahan', 'pangan', 'prediksi', 'resesi', 'ekonomi']",tahan pangan resolusi mang penting perintah swasta kuat tahan pangan prediksi resesi ekonomi,resolution of food security is indeed important to command the private sector to be strong in food security in predicting an economic recession,Positive,"{'neg': 0.091, 'neu': 0.586, 'pos': 0.322, 'compound': 0.7269}"
2022-12-30 14:36:04+00:00,1608834307761786887,NARASI RESESI VS OPTIMISME EKONOMI 2023 https://t.co/PbCz681zXE via @Nawacita,nawacitadotco,in,narasi resesi vs optimisme ekonomi via,"['narasi', 'resesi', 'vs', 'optimisme', 'ekonomi', 'via']",narasi resesi vs optimisme ekonomi via,narrative of recession vs economic optimism via,Positive,"{'neg': 0.248, 'neu': 0.442, 'pos': 0.31, 'compound': 0.1779}"
2022-12-30 14:24:37+00:00,1608831426165870593,"Rumah Zakat Buat Strategi Tahun 2023, 'untuk Keluar dari Kemiskinan dan Ancaman Resesi Ekonomi' https://t.co/QglRmXlFxR",RiaupagiSurya,in,rumah zakat buat strategi tahun untuk keluar dari kemiskinan dan ancaman resesi ekonomi,"['rumah', 'zakat', 'strategi', 'miskin', 'ancam', 'resesi', 'ekonomi']",rumah zakat strategi miskin ancam resesi ekonomi,Rumah zakat strategy for the poor threatens an economic recession,Negative,"{'neg': 0.548, 'neu': 0.452, 'pos': 0.0, 'compound': -0.8176}"
2022-12-30 14:03:04+00:00,1608826004906332160,"2023 sudah dibayangi adanya Resesi Global. 
Bagaimana gambaran dari 2022 ke 2023?
Seperti apa Proyeksi dan Tantangan Resesi Global?
Simak dan ikuti, “Ekonomi Bisnis Outlook 2023”
Hanya di City Guide 911 FM
Saksikan secara visual, di Web, aplikasi dan kanal Youtube

@mustamuronny https://t.co/qAw1dOF68S",cityguide911fm,in,sudah dibayangi adanya resesi global bagaimana gambaran dari ke seperti apa proyeksi dan tantangan resesi global simak dan ikuti “ekonomi bisnis outlok ” hanya di city guide fm saksikan secara visual di web aplikasi dan kanal youtube,"['bayang', 'resesi', 'global', 'gambar', 'proyeksi', 'tantang', 'resesi', 'global', 'simak', 'ikut', '', 'ekonomi', 'bisnis', 'outlok', '', 'city', 'guide', 'fm', 'saksi', 'visual', 'web', 'aplikasi', 'kanal', 'youtube']",bayang resesi global gambar proyeksi tantang resesi global simak ikut  ekonomi bisnis outlok  city guide fm saksi visual web aplikasi kanal youtube,shadow of global recession projected picture of global recession see join business economics outlok city guide fm visual witness web application youtube channel,Negative,"{'neg': 0.201, 'neu': 0.719, 'pos': 0.079, 'compound': -0.5267}"
2022-12-30 10:42:06+00:00,1608775427744763905,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/TiB9IkWszg,DipaDuaLima,in,presiden jokowi pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['presiden', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",presiden pasti kondisi ekonomi indonesia stabil hadap resesi,the president is certain that Indonesia's economic condition is stable in the face of a recession,Positive,"{'neg': 0.139, 'neu': 0.647, 'pos': 0.214, 'compound': 0.128}"
2022-12-30 10:28:22+00:00,1608771971394994176,@lix_lee007 😂😂😂😂😂😂 enel ugaaa ..... resesi ekonomi 2023 di mulai dr sekarang 😂,noonathel,in,le 😂 enel uga resesi ekonomi di mulai dr sekarang 😂,"['le', '', 'enel', 'uga', 'resesi', 'ekonomi', '']",le  enel uga resesi ekonomi ,Le Enel is also an economic recession,Negative,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}"
2022-12-30 10:03:50+00:00,1608765798025408514,Vietnam tak terdampak resesi ekonomi yang kata Pak Luhut BP @kemenkomarves ancam dunia. Apa karena ancamannya pada 2023? :),basoamir,in,vietnam tak terdampak resesi ekonomi yang kata pak luhut bp ancam dunia apa karena ancamanya pada,"['vietnam', 'dampak', 'resesi', 'ekonomi', 'ancam', 'dunia', 'ancamanya']",vietnam dampak resesi ekonomi ancam dunia ancamanya,vietnam the impact of the economic recession threatens the world,Negative,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.6597}"
2022-12-30 09:54:50+00:00,1608763535865319424,"Dana Moneter Internasional (IMF) memperkirakan 2023 bakal menjadi tahun yang lesu. Terasa seperti pil pahit bagi negara-negara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi Covid-19.

#datanesia 
#resesi 
#whitepaperdatanesia https://t.co/EEQ3k17jH9",datanesia_id,in,dana moneter internasional imf memperkirakan bakal menjadi tahun yang lesu terasa seperti pil pahit bagi negaranegara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi covid,"['dana', 'moneter', 'internasional', 'imf', 'lesu', 'pil', 'pahit', 'negaranegara', 'kembang', 'pul', 'lambat', 'ekonomi', 'akibat', 'pandemi', 'covid']",dana moneter internasional imf lesu pil pahit negaranegara kembang pul lambat ekonomi akibat pandemi covid,"IMF International Monetary Fund is sluggish, a bitter pill, developing countries are slowing down their economies due to the Covid pandemic",Negative,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6705}"
2022-12-30 08:30:02+00:00,1608742193329770501,3 Biang Keladi Penentu Ekonomi Global Masuk Jurang Resesi atau Tidak di 2023 https://t.co/sQ0prEEzv4,liputan6dotcom,in,biang keladi penentu ekonomi global masuk jurang resesi atau tidak di,"['biang', 'keladi', 'tentu', 'ekonomi', 'global', 'masuk', 'jurang', 'resesi']",biang keladi tentu ekonomi global masuk jurang resesi,the culprit of course the global economy entered the brink of recession,Negative,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}"
2022-12-30 08:05:07+00:00,1608735923654758407,"Tahun 2023 mau ngapain? 

Mau ganti semua produk pake local product, at least biarpun resesi, tapi ekonomi dalam negeri tetap bergerak. Bukannya malah ngucurin dana ke negara orang ☺",ahn_hee_young,in,tahun mau ngapain mau ganti semua produk pake local product at least biarpun resesi tapi ekonomi dalam negeri tetap bergerak bukanya malah ngucurin dana ke negara orang ☺,"['ngapain', 'ganti', 'produk', 'pake', 'local', 'product', 'at', 'least', 'biarpun', 'resesi', 'ekonomi', 'negeri', 'gerak', 'buka', 'ngucurin', 'dana', 'negara', 'orang', '']",ngapain ganti produk pake local product at least biarpun resesi ekonomi negeri gerak buka ngucurin dana negara orang ,why change products to use local products at least even though the country's economic recession is moving open to disbursing other people's state funds,Negative,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}"
2022-12-30 06:35:19+00:00,1608713322697834498,Mantap.. Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/zO3TOkutQa,deniangria,in,mantap presiden jokowi pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['mantap', 'presiden', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",mantap presiden pasti kondisi ekonomi indonesia stabil hadap resesi,sure the president is sure that Indonesia's economic condition is stable in the face of a recession,Positive,"{'neg': 0.124, 'neu': 0.575, 'pos': 0.301, 'compound': 0.4588}"
2022-12-30 05:32:40+00:00,1608697555705270272,Hal ihwal kegentingan yang memaksa di Perppu juga ga masuk akal. Krisis/resesi ekonomi 2023 di Indonesia peluangnya kecil,maulanafawdi,in,hal ihwal kegentingan yang memaksa di perpu juga ga masuk akal krisisresesi ekonomi di indonesia peluangnya kecil,"['ihwal', 'genting', 'paksa', 'perpu', 'masuk', 'akal', 'krisisresesi', 'ekonomi', 'indonesia', 'peluang']",ihwal genting paksa perpu masuk akal krisisresesi ekonomi indonesia peluang,Perpu forced precarious circumstances make sense Indonesia's economic recession crisis opportunity,Negative,"{'neg': 0.503, 'neu': 0.355, 'pos': 0.142, 'compound': -0.7964}"
