Datetime,Tweet Id,Tweet,Username,Language,Sentiment
2020-11-05 08:25:32+00:00,1.32427E+18,"Indonesia Resesi, Pengusaha Sebut Pertumbuhan Ekonomi Baru Bangkit di 2023 https://t.co/Xp2EtHsrKP",liputan6dotcom,in,Negative
2020-10-17 10:36:09+00:00,1.31741E+18,"Pengamat mengatakan, pertumbuhan ekonomi baru bisa normal pada 2023. Namun, jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hingga 2021, Indonesia kemungkinan akan masuk ke jurang depresi ekonomi.

#WaktunyaLokadata https://t.co/AwZlqdViU8",LokadataID,in,Negative
2020-09-28 05:23:24+00:00,1.31045E+18,"Pengamat mengatakan, pertumbuhan ekonomi baru bisa normal pada 2023. Namun, jika tidak ada perbaikan dalam penanganan pandemi dan resesi ekonomi terus berlanjut hingga 2021, Indonesia kemungkinan akan masuk ke jurang depresi ekonomi.

#WaktunyaLokadata https://t.co/AwZlqdViU8",LokadataID,in,Negative
2020-09-24 13:42:22+00:00,1.30913E+18,"Kalau Kanker, Sepertinya Sudah Masuk Stadium Empat, Sudah Keropos, Menunggu Ambruk Bagai Anjing Mencret yg Sudah Kehilangan Tenaga.
Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit D... https://t.co/780pIX3sf3",myputun,in,Negative
2020-09-24 07:31:13+00:00,1.30903E+18,"Ini Bukan Kabar Baik, Ekonomi Indonesia Diprediksi Baru Sembuh dari Resesi pada 2023, Kebangkrutan Massal Sulit Dihindari https://t.co/fvPodFfNua",BizlawIndonesia,in,Negative
2020-09-23 10:03:15+00:00,1.30871E+18,"Resesi Tak Terhindarkan, Ekonomi Diproyeksi Pulih Total pada 2023 #ddtcnews  https://t.co/K7Rhi2rEZf",agg90,in,Negative
2020-08-17 04:23:26+00:00,1.29521E+18,Semoga Indonesia dpt berhasil ujicoba vaksin covid-19 di atas 90% shg tdk terkena resesi krisis yg diprediksikan sd 2023... tetap optimis hadapi terbenamnya ekonomi.,ankrizz,in,Positive
2020-07-16 04:16:41+00:00,1.28362E+18,"@CNNIndonesia Negara Singapura kena resesi ekonomi mungkin bisa pulih 2023 
Indonesia kena resesi tahun 2034 atau lebih bisa pulih ..",kangenghea,in,Positive
2021-05-05 10:27:28+00:00,1.38989E+18,"Covid-19 belum terhandle dengan baik, ekonomi indonesia masih resesi. Bisa2 fully recovered tahun 2023.",amatalidla,in,Negative
2022-12-30 18:21:52+00:00,1.60889E+18,2023 gak jadi resesi soalnya jeben berlayar makin jauh sambil menjalankan ekonomi dunia menjadi lebih gemilang,theendofautumn,in,Positive
2022-12-30 16:05:03+00:00,1.60886E+18,KETAHANAN pangan harus menjadi resolusi 2023 seluruh pemangku kepentingan. Pemerintah dan swasta harus lebih kuat lagi menjadi ketahanan pangan mengingat tahun depan diprediksi bakal terjadi resesi ekonomi.  https://t.co/loiwcPVJYt,mediaindonesia,in,Negative
2022-12-30 14:36:04+00:00,1.60883E+18,NARASI RESESI VS OPTIMISME EKONOMI 2023 https://t.co/PbCz681zXE via @Nawacita,nawacitadotco,in,Neutral
2022-12-30 14:24:37+00:00,1.60883E+18,"Rumah Zakat Buat Strategi Tahun 2023, 'untuk Keluar dari Kemiskinan dan Ancaman Resesi Ekonomi' https://t.co/QglRmXlFxR",RiaupagiSurya,in,Negative
2022-12-30 14:03:04+00:00,1.60883E+18,"2023 sudah dibayangi adanya Resesi Global. 
Bagaimana gambaran dari 2022 ke 2023?
Seperti apa Proyeksi dan Tantangan Resesi Global?
Simak dan ikuti, “Ekonomi Bisnis Outlook 2023”
Hanya di City Guide 911 FM
Saksikan secara visual, di Web, aplikasi dan kanal Youtube

@mustamuronny https://t.co/qAw1dOF68S",cityguide911fm,in,Negative
2022-12-30 10:42:06+00:00,1.60878E+18,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/TiB9IkWszg,DipaDuaLima,in,Positive
2022-12-30 10:30:16+00:00,1.60877E+18,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/Sp14CxBKGt,kusumaputri9899,in,Positive
2022-12-30 10:28:22+00:00,1.60877E+18,@lix_lee007 😂😂😂😂😂😂 enel ugaaa ..... resesi ekonomi 2023 di mulai dr sekarang 😂,noonathel,in,Negative
2022-12-30 10:03:50+00:00,1.60877E+18,Vietnam tak terdampak resesi ekonomi yang kata Pak Luhut BP @kemenkomarves ancam dunia. Apa karena ancamannya pada 2023? :),basoamir,in,Positive
2022-12-30 09:54:50+00:00,1.60876E+18,"Dana Moneter Internasional (IMF) memperkirakan 2023 bakal menjadi tahun yang lesu. Terasa seperti pil pahit bagi negara-negara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi Covid-19.

#datanesia 
#resesi 
#whitepaperdatanesia https://t.co/EEQ3k17jH9",datanesia_id,in,Negative
2022-12-30 08:30:02+00:00,1.60874E+18,3 Biang Keladi Penentu Ekonomi Global Masuk Jurang Resesi atau Tidak di 2023 https://t.co/sQ0prEEzv4,liputan6dotcom,in,Neutral
2022-12-30 08:05:07+00:00,1.60874E+18,"Tahun 2023 mau ngapain? 

Mau ganti semua produk pake local product, at least biarpun resesi, tapi ekonomi dalam negeri tetap bergerak. Bukannya malah ngucurin dana ke negara orang ☺",ahn_hee_young,in,Positive
2022-12-30 06:35:19+00:00,1.60871E+18,Mantap.. Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/zO3TOkutQa,deniangria,in,Positive
2022-12-30 06:30:49+00:00,1.60871E+18,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/QYZbmNMsHU,kharism79,in,Positive
2022-12-30 05:32:40+00:00,1.6087E+18,Hal ihwal kegentingan yang memaksa di Perppu juga ga masuk akal. Krisis/resesi ekonomi 2023 di Indonesia peluangnya kecil,maulanafawdi,in,Negative
2022-12-30 05:10:15+00:00,1.60869E+18,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/rNGDzPO8lk,sebhayu,in,Positive
2022-12-30 05:10:08+00:00,1.60869E+18,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/HUK9ePOL18,halaucovid,in,Positive
2022-12-30 02:32:02+00:00,1.60865E+18,"Apindo Ingatkan Pemerintah Waspadai Resesi Tahun 2023: Tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara, termasuk Indonesia. Pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan.

baca… https://t.co/mQQ5IYhQKG",RMOLJatim_id,in,Negative
2022-12-30 01:33:50+00:00,1.60864E+18,"Materi: 
• Product Insight
• Brand Building
• Brand DNA &amp; Brand Personality
Siapkan brand kamu untuk menghadapi isu resesi ekonomi 2023
Info detail : https://t.co/7U54vdnnbK",CilyaWonderland,in,Positive
2022-12-29 13:44:37+00:00,1.60846E+18,"5 Ramalan Ekonomi 2023, Resesi sampai Bangkrut Massal https://t.co/G745Tsdo2k",go_antonmail,in,Negative
2022-12-29 12:49:03+00:00,1.60844E+18,"Ekonomi 2023, Resesi Sampai Bangkrut Massal https://t.co/hGKXTu6SD8",ekspresnews,in,Negative
2022-12-29 12:39:25+00:00,1.60844E+18,"Apakah ini perasaan gue saja atau bukan ya, di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u/ persiapan menghindari resesi 2023 justru jadi ajang “rebound”, bahkan meningkatkan harga2. Cth dampak nyata buat gue, Argo Parahyangan bisa tembus Rp150ribu menjelang tahun baru.",arief1997,in,Negative
2022-12-29 12:25:12+00:00,1.60844E+18,"Dana Moneter Internasional (IMF) memperingatkan pada tahun 2023, resesi ekonomi bisa dialami oleh banyak negara. 

Jika terjadi resesi tahun depan, bagaimana kita harus mengelola keuangan untuk tahun depan? Apa hal-hal yang harus diperhatikan?

BESOK kami bahas di #RuangPublikKBR https://t.co/rUFLOaBM5g",beritaKBR,in,Negative
2022-12-29 11:18:08+00:00,1.60842E+18,Apindo Ungkap Kekuatan Besar Indonesia Hadapi Ancaman Resesi Ekonomi 2023 https://t.co/xHu8WobzMt,VIVAcoid,in,Positive
2022-12-29 10:30:30+00:00,1.60841E+18,"2023 Resesi Ekonomi
Gua yang kuliah dibiayain ortu = 🙂🤝🏻",dvaakyla_,in,Neutral
2022-12-29 08:11:22+00:00,1.60838E+18,"Kemarin di Bandung, sempat melihat butik Coach akan dibuka Januari 2023 di sebuah mal. Lalu Uniqlo sudah buka gerai sendiri di kawasan Jl. Riau. Ada juga bangunan resto baru Okinawa Sushi dekat situ.

Resesi ekonomi 2023? 🤔",Bataviase77,in,Positive
2022-12-29 06:24:04+00:00,1.60835E+18,"Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 
#JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/sFgrPJy7r3",khorimkarim,in,Positive
